number,name,name_full,personal_name,suffix,suffix_L,name_L,canonization,birth,DMY_birth,birth_place,start,DMY_start,end,DMY_end,age_start,age_end,tenure,notes,wiki
130,John,John XII,NA,12,Duodecimus,IOANNES,NA,0937-06-30T00:00:00Z,30/06/937,"Rome, Papal States",0964-02-26T00:00:00Z,26/02/964,0964-05-14T00:00:00Z,14/05/964,26,26,0.21311475409836100,Subject and later the sovereign of the Papal States. Possibly murdered in 964.,https://en.wikipedia.org/wiki/Pope_John_XII
131,Benedict,Benedict V,NA,5,Quintus,BENEDICTVS,NA,0915-06-30T00:00:00Z,30/06/915,"Rome, Papal States",0964-05-22T00:00:00Z,22/05/964,0964-06-23T00:00:00Z,23/06/964,48,48,0.08767123287671230,"Subject and later the sovereign of the Papal States. Elected by the people of Rome, in opposition to Leo VIII who was appointed by Emperor Otto; he accepted his own deposition in 964 leaving Leo VIII as the sole pope.",https://en.wikipedia.org/wiki/Pope_Leo_VIII
132,Leo,Leo VIII,NA,8,Octavus,LEO,NA,0915-06-30T00:00:00Z,30/06/915,"Rome, Papal States",0964-06-23T00:00:00Z,23/06/964,0965-03-01T00:00:00Z,01/03/965,48,49,0.6876712328767120,"Subject and later the sovereign of the Papal States. His pontificate from 963 to 964 is considered illegitimate by today's Catholic Church. An appointee of Emperor Otto I, his pontificate occurred during the period known as the Saeculum obscurum.",https://en.wikipedia.org/wiki/Pope_Benedict_V
133,John,John XIII,NA,13,Vicesimus,IOANNES,NA,0930-06-30T00:00:00Z,30/06/930,"Rome, Papal States",0965-10-01T00:00:00Z,01/10/965,0972-09-06T00:00:00Z,06/09/972,35,42,6.9316939890710400,"Subject and later the sovereign of the Papal States. Chronicled after his death as ""the Good"".",https://en.wikipedia.org/wiki/Pope_John_XIII
134,Benedict,Benedict VI,NA,6,Sextus,BENEDICTVS,NA,0925-06-30T00:00:00Z,30/06/925,"Rome, Papal States",0973-01-19T00:00:00Z,19/01/973,0974-06-08T00:00:00Z,08/06/974,47,48,1.3835616438356200,"Subject and later the sovereign of the Papal States, was of Lombard ethnicity. Deposed and murdered.",https://en.wikipedia.org/wiki/Pope_Benedict_VI
135,Benedict,Benedict VII,NA,7,Septimus,BENEDICTVS,NA,0930-06-30T00:00:00Z,30/06/930,"Rome, Papal States",0974-10-01T00:00:00Z,01/10/974,0983-07-10T00:00:00Z,10/07/983,44,53,8.772602739726030,Subject and later the sovereign of the Papal States.,https://en.wikipedia.org/wiki/Pope_Benedict_VII
136,John,John XIV,NA,14,Tricesimus,IOANNES,NA,0940-06-30T00:00:00Z,30/06/940,"Pavia, Kingdom of Italy, Holy Roman Empire",0983-12-01T00:00:00Z,01/12/983,0984-08-20T00:00:00Z,20/08/984,43,44,0.7185792349726780,Subject and later the sovereign of the Papal States. Fourth pope not to use his personal name (Pietro Canepanova).,https://en.wikipedia.org/wiki/Pope_John_XIV
137,John,John XV,NA,15,Centensimus,IOANNES,NA,0950-06-30T00:00:00Z,30/06/950,"Rome, Papal States",0985-08-20T00:00:00Z,20/08/985,0996-04-01T00:00:00Z,01/04/996,35,45,10.614754098360700,Subject and later the sovereign of the Papal States. The first pope to formally canonize a saint.,https://en.wikipedia.org/wiki/Pope_John_XV
138,Gregory,Gregory V,NA,5,Quintus,GREGORIVS,NA,0972-06-30T00:00:00Z,30/06/972,"Stainach, Duchy of Carinthia, Holy Roman Empire",0996-05-03T00:00:00Z,03/05/996,0999-02-18T00:00:00Z,18/02/999,23,26,2.7972602739726000,"Born as a subject of the Duchy of Carinthia, the first official German pope and fifth not to use his personal name (Bruno). Henceforth, this decision became tradition among future popes.",https://en.wikipedia.org/wiki/Pope_Gregory_V
139,Sylvester,Sylvester II,NA,2,Secundus,SILVESTER,NA,0940-06-30T00:00:00Z,30/06/940,"Belliac, France",0999-04-02T00:00:00Z,02/04/999,1003-05-12T00:00:00Z,12/05/1003,58,62,4.109289617486340,"Born Gerbert, a subject of the Kingdom of France, who was the first French (Occitan) pope.",https://en.wikipedia.org/wiki/Pope_Sylvester_II
140,John,John XVII,Giovanni Sicco,17,Septimus Decimus,IOANNES,NA,0955-06-30T00:00:00Z,30/06/955,"Rome, Papal States",1003-05-16T00:00:00Z,16/05/1003,1003-11-06T00:00:00Z,06/11/1003,47,48,0.47540983606557400,Subject and later the sovereign of the Papal States.,https://en.wikipedia.org/wiki/Pope_John_XVII
141,John,John XVIII,Giovanni Fasano,18,Duodevicesimus,IOANNES,NA,0965-06-30T00:00:00Z,30/06/965,"Rapagnano, Papal States, Holy Roman Empire",1003-12-25T00:00:00Z,25/12/1003,1009-07-18T00:00:00Z,18/07/1009,38,44,5.561643835616440,Subject and later the sovereign of the Papal States. First pope born after the Papal States became a state of the Holy Roman Empire in 962.,https://en.wikipedia.org/wiki/Pope_John_XVIII
142,Sergius,Sergius IV,"Pietro Martino Boccadiporco
O.S.B.",4,Quartus,SERGIVS,NA,0970-06-30T00:00:00Z,30/06/970,"Rome, Papal States, Holy Roman Empire",1009-07-31T00:00:00Z,31/07/1009,1012-05-12T00:00:00Z,12/05/1012,39,41,2.781420765027320,Subject and later the sovereign of the Papal States.,https://en.wikipedia.org/wiki/Pope_Sergius_IV
143,Benedict,Benedict VIII,Teofilatto di Tuscolo,8,Octavus,BENEDICTVS,NA,0980-06-30T00:00:00Z,30/06/980,"Rome, Papal States, Holy Roman Empire",1012-05-18T00:00:00Z,18/05/1012,1024-04-09T00:00:00Z,09/04/1024,31,43,11.89344262295080,Subject and later the sovereign of the Papal States.,https://en.wikipedia.org/wiki/Pope_Benedict_VIII
144,John,John XIX,Romano di Tuscolo,19,Undevicesimus,IOANNES,NA,0975-06-30T00:00:00Z,30/06/975,"Rome, Papal States, Holy Roman Empire",1024-05-14T00:00:00Z,14/05/1024,1032-10-06T00:00:00Z,06/10/1032,48,57,8.397260273972600,Subject and later the sovereign of the Papal States. Brother of Benedict VIII.,https://en.wikipedia.org/wiki/Pope_John_XIX
145,Benedict,Benedict IX,Teofilatto di Tuscolo,9,Nonus,BENEDICTVS,NA,NA,NA,"Rome, Papal States, Holy Roman Empire",1032-10-21T00:00:00Z,21/10/1032,1044-12-31T00:00:00Z,31/12/1044,NA,NA,12.194520547945200,Subject and later the sovereign of the Papal States; first term.,https://en.wikipedia.org/wiki/Pope_Benedict_IX
146,Sylvester,Sylvester III,Giovanni dei Crescenzi Ottaviani,3,Tertius,SILVESTER,NA,1000-06-30T00:00:00Z,30/06/1000,"Rome, Papal States, Holy Roman Empire",1045-01-13T00:00:00Z,13/01/1045,1045-03-10T00:00:00Z,10/03/1045,44,44,0.15342465753424700,Subject and later the sovereign of the Papal States. Validity of election questioned; considered antipope; deposed at the Council of Sutri.,https://en.wikipedia.org/wiki/Pope_Sylvester_III
147,Benedict,Benedict IX,Teofilatto di Tuscolo,9,Nonus,BENEDICTVS,NA,NA,NA,"Rome, Papal States, Holy Roman Empire",1045-03-10T00:00:00Z,10/03/1045,1045-05-01T00:00:00Z,01/05/1045,NA,NA,0.14246575342465800,Subject and later the sovereign of the Papal States. Second term; deposed at the Council of Sutri.,https://en.wikipedia.org/wiki/Pope_Gregory_VI
148,Gregory,Gregory VI,Giovanni Graziano Pierleoni,6,Sextus,GREGORIVS,NA,1000-06-30T00:00:00Z,30/06/1000,"Rome, Papal States, Holy Roman Empire",1045-05-05T00:00:00Z,05/05/1045,1046-12-20T00:00:00Z,20/12/1046,44,46,1.6273972602739700,Subject and later the sovereign of the Papal States. Deposed at the Council of Sutri.,https://en.wikipedia.org/wiki/Pope_Clement_II
149,Clement,Clement II,Suidger von Morsleben-Hornburg,2,Secundus,CLEMENS,NA,0967-06-30T00:00:00Z,30/06/967,"Hornburg, Duchy of Saxony, Holy Roman Empire",1046-12-24T00:00:00Z,24/12/1046,1047-10-09T00:00:00Z,09/10/1047,79,80,0.7917808219178080,Born as a subject of the Duchy of Saxony. Appointed by King Henry III at the Council of Sutri; crowned Henry III as emperor.,https://en.wikipedia.org/wiki/Pope_Damasus_II
150,Benedict,Benedict IX,Teofilatto di Tuscolo,9,Nonus,BENEDICTVS,NA,1012-06-30T00:00:00Z,30/06/1012,"Rome, Papal States, Holy Roman Empire",1047-11-08T00:00:00Z,08/11/1047,1048-07-17T00:00:00Z,17/07/1048,35,36,0.6885245901639340,Subject and later the sovereign of the Papal States. Third term; deposed and excommunicated.,https://en.wikipedia.org/wiki/Pope_Leo_IX
151,Damasus,Damasus II,Poppo de Curagnoni,2,Secundus,DAMASVS,NA,1000-06-30T00:00:00Z,30/06/1000,"Pildenau, Duchy of Bavaria, Holy Roman Empire",1048-07-17T00:00:00Z,17/07/1048,1048-08-09T00:00:00Z,09/08/1048,48,48,0.06301369863013700,Born as a subject of the Duchy of Bavaria.,https://en.wikipedia.org/wiki/Pope_Victor_II
152,Leo,Leo IX,Bruno von Egisheim-Dagsburg,9,Nonus,LEO,Saint,1002-07-21T00:00:00Z,21/07/1002,"Eguisheim, Duchy of Swabia, Holy Roman Empire",1049-02-12T00:00:00Z,12/02/1049,1054-04-19T00:00:00Z,19/04/1054,46,51,5.1808219178082200,"Born as a subject of the Duchy of Swabia. In 1054, the mutual excommunications of Leo IX's legate, cardinal Humbert of Silva Candida, and Patriarch of Constantinople Michael I Cerularius began the East–West Schism. The anathematizations were rescinded by Pope Paul VI and Patriarch Athenagoras in 1965.",https://en.wikipedia.org/wiki/Pope_Stephen_IX
153,Victor,Victor II,Gebhard II von Calw-Dollnstein-Hirschberg,2,Secundus,VICTOR,NA,1018-06-30T00:00:00Z,30/06/1018,"Duchy of Swabia, Holy Roman Empire",1055-04-13T00:00:00Z,13/04/1055,1057-07-28T00:00:00Z,28/07/1057,36,39,2.2904109589041100,Born as a subject of the Duchy of Swabia.,https://en.wikipedia.org/wiki/Pope_Nicholas_II
154,Stephen,Stephen IX,"Frederich
O.S.B.",9,Nonus,STEPHANVS,Saint,1020-06-30T00:00:00Z,30/06/1020,"Duchy of Lorraine, Holy Roman Empire",1057-08-02T00:00:00Z,02/08/1057,1058-03-29T00:00:00Z,29/03/1058,37,37,0.6547945205479450,Born as a subject of the Duchy of Lorraine. Sometimes called Stephen X. Member of the Order of Saint Benedict.,https://en.wikipedia.org/wiki/Pope_Alexander_II
155,Nicholas,Nicholas II,Gerald de Bourgogne,2,Secundus,NICOLAVS,NA,0980-06-30T00:00:00Z,30/06/980,"Château de Chevron, County of Savoy, Holy Roman Empire",1058-12-06T00:00:00Z,06/12/1058,1061-07-27T00:00:00Z,27/07/1061,78,81,2.638356164383560,"Born as a subject of the County of Savoy, was of French ethnicity. In 1059 the College of Cardinals was designated the sole body of pope electors in the document In nomine Domini.",https://en.wikipedia.org/wiki/Pope_Gregory_VII
156,Alexander,Alexander II,Anselmo da Baggio,2,Secundus,ALEXANDER,NA,1018-06-30T00:00:00Z,30/06/1018,"Baggio, Free Commune of Milan, Holy Roman Empire",1061-09-30T00:00:00Z,30/09/1061,1073-04-21T00:00:00Z,21/04/1073,43,54,11.556164383561600,Citizen of the Free Commune of Milan. Authorized the Norman conquest of England in 1066.,https://en.wikipedia.org/wiki/Pope_Victor_III
157,Gregory,Gregory VII,"Ildebrando Aldobrandeschi di Soana
O.S.B.",7,Septimus,GREGORIVS,Saint,1015-06-30T00:00:00Z,30/06/1015,"Sovana, March of Tuscany, Holy Roman Empire",1073-04-22T00:00:00Z,22/04/1073,1085-05-25T00:00:00Z,25/05/1085,57,69,12.09041095890410,"Subject of the March of Tuscany, was of Lombard ethnicity. Initiated the Gregorian Reforms. Restricted the use of the papal title to the bishop of Rome. Member of the Order of Saint Benedict. Political struggle with Emperor Henry IV, who had to go to Canossa (1077).",https://en.wikipedia.org/wiki/Pope_Urban_II
158,Victor,Victor III,"Dauferio Epifani Del Zotto
O.S.B.",3,Tertius,VICTOR,Blessed,1026-06-30T00:00:00Z,30/06/1026,"Benevento, Duchy of Benevento",1086-05-24T00:00:00Z,24/05/1086,1087-09-16T00:00:00Z,16/09/1087,59,61,1.314207650273220,"Born as a subject of the Duchy of Benevento, was of Lombard ethnicity. Member of the Order of Saint Benedict. Called the Synod of Benevento (1087) condemning lay investiture.",https://en.wikipedia.org/wiki/Pope_Paschal_II
159,Urban,Urban II,"Odon de Lagery
O.S.B.",2,Secundus,VRBANVS,Blessed,1042-06-30T00:00:00Z,30/06/1042,"Châtillon-sur-Marne, County of Champagne, France",1088-03-12T00:00:00Z,12/03/1088,1099-07-29T00:00:00Z,29/07/1099,45,57,11.38082191780820,Born as a subject of the Kingdom of France. Preached and started the First Crusade. Member of the Order of Saint Benedict.,https://en.wikipedia.org/wiki/Pope_Gelasius_II
160,Paschal,Paschal II,"Rainero Ranieri
O.S.B.",2,Secundus,PASCHALIS,NA,1050-06-30T00:00:00Z,30/06/1050,"Bleda, March of Tuscany, Holy Roman Empire",1099-08-13T00:00:00Z,13/08/1099,1118-01-21T00:00:00Z,21/01/1118,49,67,18.44109589041100,"Born as a subject of the March of Tuscany, was of Lombard ethnicity. Member of the Order of Saint Benedict. Ordered the building of the basilica of Santi Quattro Coronati.",https://en.wikipedia.org/wiki/Pope_Callixtus_II
161,Gelasius,Gelasius II,"Giovanni Caetani
O.S.B.",2,Secundus,GELASIVS,NA,1061-06-30T00:00:00Z,30/06/1061,"Gaeta, Duchy of Gaeta",1118-01-24T00:00:00Z,24/01/1118,1119-01-29T00:00:00Z,29/01/1119,56,57,1.0136986301369900,Born as a subject of the Duchy of Gaeta.,https://en.wikipedia.org/wiki/Pope_Honorius_II
162,Callixtus,Callixtus II,Guy,2,Secundus,CALLISTVS,NA,1060-06-30T00:00:00Z,30/06/1060,"Quingey, County of Burgundy, Holy Roman Empire",1119-02-02T00:00:00Z,02/02/1119,1124-12-13T00:00:00Z,13/12/1124,58,64,5.860655737704920,"Born as a subject of the County of Burgundy, was of French ethnicity. Opened the First Council of the Lateran in 1123.",https://en.wikipedia.org/wiki/Pope_Innocent_II
163,Honorius,Honorius II,"Lamberto Scannabecchi da Fiagnano
Can.Reg.",2,Secundus,HONORIVS,NA,1060-02-09T00:00:00Z,09/02/1060,"Fiagnano, Papal States, Holy Roman Empire",1124-12-21T00:00:00Z,21/12/1124,1130-02-13T00:00:00Z,13/02/1130,64,70,5.147945205479450,Subject and later the sovereign of the Papal States. Canon Regular of S. Maria di San Reno. Approved the new military order of the Knights Templar in 1128.,https://en.wikipedia.org/wiki/Pope_Celestine_II
164,Innocent,Innocent II,"Gregorio Papareschi
Can.Reg.",2,Secundus,INNOCENTIVS,NA,1082-06-30T00:00:00Z,30/06/1082,"Rome, Papal States, Holy Roman Empire",1130-02-14T00:00:00Z,14/02/1130,1143-09-24T00:00:00Z,24/09/1143,47,61,13.608219178082200,"Subject and later the sovereign of the Papal States. Canon regular of Lateran. Convened the Second Council of the Lateran, 1139.",https://en.wikipedia.org/wiki/Pope_Lucius_II
165,Celestine,Celestine II,Guido Guelfuccio de Castello,2,Secundus,COELESTINVS,NA,1085-06-30T00:00:00Z,30/06/1085,"Città di Castello, Papal States, Holy Roman Empire",1143-09-26T00:00:00Z,26/09/1143,1144-03-08T00:00:00Z,08/03/1144,58,58,0.44808743169398900,Subject and later the sovereign of the Papal States.,https://en.wikipedia.org/wiki/Pope_Eugene_III
166,Lucius,Lucius II,"Gherardo Caccianemici dall'Orso
Can.Reg.",2,Secundus,LUCIVS,NA,1079-06-30T00:00:00Z,30/06/1079,"Bologna, Papal States, Holy Roman Empire",1144-03-12T00:00:00Z,12/03/1144,1145-02-15T00:00:00Z,15/02/1145,64,65,0.9315068493150680,Subject and later the sovereign of the Papal States. Canon Regular of S. Frediano di Lucca.,https://en.wikipedia.org/wiki/Pope_Anastasius_IV
167,Eugene,Eugene III,"Pietro dei Paganelli di Montemagno
O.Cist.",3,Tertius,EVGENIVS,Blessed,1080-06-30T00:00:00Z,30/06/1080,"Montemagno, Republic of Pisa, Holy Roman Empire",1145-02-15T00:00:00Z,15/02/1145,1153-07-08T00:00:00Z,08/07/1153,64,73,8.391780821917810,Citizen of the Republic of Pisa. Member of the Order of Cistercians. Announced the Second Crusade.,https://en.wikipedia.org/wiki/Pope_Adrian_IV
168,Anastasius,Anastasius IV,Corrado Demitri della Suburra,4,Quartus,ANASTASIVS,NA,1073-06-30T00:00:00Z,30/06/1073,"Rome, Papal States, Holy Roman Empire",1153-07-12T00:00:00Z,12/07/1153,1154-12-03T00:00:00Z,03/12/1154,80,81,1.3945205479452100,Subject and later the sovereign of the Papal States.,https://en.wikipedia.org/wiki/Pope_Alexander_III
169,Adrian,Adrian IV,"Nicholas Breakspear
Can.Reg.",4,Quartus,HADRIANVS,NA,1100-06-30T00:00:00Z,30/06/1100,"Abbots Langley, Hertfordshire, Kingdom of England",1154-12-04T00:00:00Z,04/12/1154,1159-09-01T00:00:00Z,01/09/1159,54,59,4.742465753424660,"Born as a subject of the Kingdom of England. The only English (Anglo-Saxon) pope; purportedly granted Ireland to Henry II, King of England. Canon Regular of St. Rufus Monastery.",https://en.wikipedia.org/wiki/Pope_Lucius_III
170,Alexander,Alexander III,Rolando Bandinelli,3,Tertius,ALEXANDER,NA,1100-06-30T00:00:00Z,30/06/1100,"Siena, March of Tuscany, Holy Roman Empire",1159-09-07T00:00:00Z,07/09/1159,1181-08-30T00:00:00Z,30/08/1181,59,81,21.97808219178080,"Born as a subject of the March of Tuscany. Convened the Third Council of the Lateran, 1179.",https://en.wikipedia.org/wiki/Pope_Urban_III
171,Lucius,Lucius III,Ubaldo Allucignoli,3,Tertius,LUCIVS,NA,1097-06-30T00:00:00Z,30/06/1097,"Lucca, March of Tuscany, Holy Roman Empire",1181-09-01T00:00:00Z,01/09/1181,1185-11-25T00:00:00Z,25/11/1185,84,88,4.232876712328770,Born as a subject of the March of Tuscany.,https://en.wikipedia.org/wiki/Pope_Gregory_VIII
172,Urban,Urban III,Uberto Crivelli,3,Tertius,VRBANVS,NA,1120-06-30T00:00:00Z,30/06/1120,"Cuggiono, Holy Roman Empire",1185-11-25T00:00:00Z,25/11/1185,1187-10-20T00:00:00Z,20/10/1187,65,67,1.9013698630137000,"Was of Italian ethnicity. In the 21st century, Cuggiono is a small Italian town and comune in the Metropolitan City of Milan.",https://en.wikipedia.org/wiki/Pope_Clement_III
173,Gregory,Gregory VIII,"Alberto de Morra
Can.Reg.",8,Octavus,GREGORIVS,NA,1100-06-30T00:00:00Z,30/06/1100,"Benevento, Papal States, Holy Roman Empire",1187-10-21T00:00:00Z,21/10/1187,1187-12-17T00:00:00Z,17/12/1187,87,87,0.1557377049180330,Subject and later the sovereign of the Papal States. Canon Regular Premostratense. Proposed the Third Crusade.,https://en.wikipedia.org/wiki/Pope_Celestine_III
174,Clement,Clement III,Paolo Scolari,3,Tertius,CLEMENS,NA,1130-06-30T00:00:00Z,30/06/1130,"Rome, Papal States, Holy Roman Empire",1187-12-19T00:00:00Z,19/12/1187,1191-03-20T00:00:00Z,20/03/1191,57,60,3.249315068493150,Subject and later the sovereign of the Papal States.,https://en.wikipedia.org/wiki/Pope_Innocent_III
175,Celestine,Celestine III,Giacinto Bobone Orsini,3,Tertius,COELESTINVS,NA,1106-06-30T00:00:00Z,30/06/1106,"Rome, Papal States, Holy Roman Empire",1191-03-30T00:00:00Z,30/03/1191,1198-01-08T00:00:00Z,08/01/1198,84,91,6.778082191780820,"Motto: Perfice gressus meos in semitis tuis (""Going in Thy path"")
 Subject and later the sovereign of the Papal States. Confirmed the statutes of the Teutonic Knights as a military order.",https://en.wikipedia.org/wiki/Pope_Honorius_III
176,Innocent,Innocent III,Lotario dei Conti di Segni,3,Tertius,INNOCENTIVS,NA,1161-06-30T00:00:00Z,30/06/1161,"Gavignano, Papal States, Holy Roman Empire",1198-01-08T00:00:00Z,08/01/1198,1216-07-16T00:00:00Z,16/07/1216,36,55,18.51912568306010,"Subject and later the sovereign of the Papal States. Convened the Fourth Council of the Lateran, 1215. Initiated the Fourth Crusade but later distanced himself from it and threatened participants with excommunication when it became clear that the leadership abandoned a focus on conquest of the Holy Land and instead intended to sack Christian cities. Endorsed the Franciscan Order.",https://en.wikipedia.org/wiki/Pope_Gregory_IX
177,Honorius,Honorius III,Cencio Savelli,3,Tertius,HONORIVS,NA,1148-06-30T00:00:00Z,30/06/1148,"Rome, Papal States, Holy Roman Empire",1216-07-18T00:00:00Z,18/07/1216,1227-03-18T00:00:00Z,18/03/1227,68,78,10.665753424657500,Subject and later the sovereign of the Papal States. Initiated the Fifth Crusade. Approved several religious and tertiary orders.,https://en.wikipedia.org/wiki/Pope_Celestine_IV
178,Gregory,Gregory IX,"Ugolino dei Conti di Segni, O.F.S",9,Nonus,GREGORIVS,NA,1145-06-30T00:00:00Z,30/06/1145,"Anagni, Papal States, Holy Roman Empire",1227-03-19T00:00:00Z,19/03/1227,1241-08-22T00:00:00Z,22/08/1241,81,96,14.427397260274000,Subject and later the sovereign of the Papal States. Initiated the inquisition in France and endorsed the Northern Crusades.,https://en.wikipedia.org/wiki/Pope_Innocent_IV
179,Celestine,Celestine IV,Goffredo Castiglioni,4,Quartus,COELESTINVS,NA,1180-06-30T00:00:00Z,30/06/1180,"Free Commune of Milan, Holy Roman Empire",1241-10-25T00:00:00Z,25/10/1241,1241-11-10T00:00:00Z,10/11/1241,61,61,0.043835616438356200,Born as a citizen of the Free Commune of Milan. Died before coronation.,https://en.wikipedia.org/wiki/Pope_Alexander_IV
180,Innocent,Innocent IV,Sinibaldo Fieschi,4,Quartus,INNOCENTIVS,NA,1195-06-30T00:00:00Z,30/06/1195,"Genoa, Republic of Genoa, Holy Roman Empire",1243-06-25T00:00:00Z,25/06/1243,1254-12-07T00:00:00Z,07/12/1254,47,59,11.452054794520500,Born as a citizen of the Republic of Genoa. Convened the First Council of Lyons (1245). Issued the bull Ad extirpanda that permitted the torture of heretics (1252).,https://en.wikipedia.org/wiki/Pope_Urban_IV
181,Alexander,Alexander IV,Rinaldo dei Conti di Jenne,4,Quartus,ALEXANDER,NA,1199-06-30T00:00:00Z,30/06/1199,"Jenne, Papal States",1254-12-12T00:00:00Z,12/12/1254,1261-05-25T00:00:00Z,25/05/1261,55,61,6.449315068493150,Subject and later the sovereign of the Papal States. First pope born after the Papal States ceased to be a state of the Holy Roman Empire. Established an Inquisition in France.,https://en.wikipedia.org/wiki/Pope_Clement_IV
182,Urban,Urban IV,Jacques Pantaléon,4,Quartus,VRBANVS,NA,1195-06-30T00:00:00Z,30/06/1195,"Troyes, County of Champagne, France",1261-08-29T00:00:00Z,29/08/1261,1264-10-02T00:00:00Z,02/10/1264,66,69,3.0931506849315100,Born as a subject of the Kingdom of France. Instituted the feast of Corpus Christi (1264).,https://en.wikipedia.org/wiki/Pope_Gregory_X
183,Clement,Clement IV,Gui Faucoi,4,Quartus,CLEMENS,NA,1190-11-23T00:00:00Z,23/11/1190,"Saint-Gilles, Languedoc, France",1265-02-05T00:00:00Z,05/02/1265,1268-11-29T00:00:00Z,29/11/1268,74,78,3.8142076502732200,Born as a subject of the Kingdom of France.,https://en.wikipedia.org/wiki/Pope_Innocent_V
184,Gregory,Gregory X,"Tebaldo Visconti, O.F.S",10,Decimus,GREGORIVS,Blessed,1210-06-30T00:00:00Z,30/06/1210,"Free Commune of Piacenza, Holy Roman Empire",1271-09-01T00:00:00Z,01/09/1271,1276-01-10T00:00:00Z,10/01/1276,61,65,4.35792349726776,"Born as a citizen of the Free Commune of Piacenza, was of Italian ethnicity. Convened the Second Council of Lyons (1274), responsible for regulating all papal conclaves until the 20th century.",https://en.wikipedia.org/wiki/Pope_Adrian_V
185,Innocent,Innocent V,"Pierre de Tarentaise, O.P.",5,Quintus,INNOCENTIVS,Blessed,1224-06-30T00:00:00Z,30/06/1224,"County of Savoy, Holy Roman Empire",1276-01-21T00:00:00Z,21/01/1276,1276-06-22T00:00:00Z,22/06/1276,51,51,0.4180327868852460,"Born as a subject of the County of Savoy, was of French ethnicity. Member of the Dominican Order.",https://en.wikipedia.org/wiki/Pope_John_XXI
186,Adrian,Adrian V,Ottobuono Fieschi,5,Quintus,HADRIANVS,NA,1216-06-30T00:00:00Z,30/06/1216,"Genoa, Republic of Genoa, Holy Roman Empire",1276-07-11T00:00:00Z,11/07/1276,1276-08-18T00:00:00Z,18/08/1276,60,60,0.10410958904109600,Born as a citizen of the Republic of Genoa. Annulled Gregory X's papal bull on the regulations of papal conclaves.,https://en.wikipedia.org/wiki/Pope_Nicholas_III
187,John,John XXI,Pedro Julião (a.k.a. Petrus Hispanus and Pedro Hispano),21,Vicesimus Primus,IOANNES,NA,1215-06-30T00:00:00Z,30/06/1215,"Lisbon, Kingdom of Portugal",1276-09-08T00:00:00Z,08/09/1276,1277-05-20T00:00:00Z,20/05/1277,61,61,0.6958904109589040,"Born as a subject of the Kingdom of Portugal. Due to a confusion over the numbering of popes named John in the 13th century, the ordinal XX was skipped.",https://en.wikipedia.org/wiki/Pope_Martin_IV
188,Nicholas,Nicholas III,Giovanni Gaetano Orsini,3,Tertius,NICOLAVS,NA,1216-06-30T00:00:00Z,30/06/1216,"Rome, Papal States",1277-11-25T00:00:00Z,25/11/1277,1280-08-22T00:00:00Z,22/08/1280,61,64,2.7404371584699500,Subject and later the sovereign of the Papal States. Planned the Sicilian Vespers.,https://en.wikipedia.org/wiki/Pope_Honorius_IV
189,Martin,Martin IV,Simon de Brion,4,Quartus,MARTINVS,NA,1210-06-30T00:00:00Z,30/06/1210,"Meinpicien, Touraine, France",1281-02-22T00:00:00Z,22/02/1281,1285-03-28T00:00:00Z,28/03/1285,70,74,4.093150684931510,Born as a subject of the Kingdom of France.,https://en.wikipedia.org/wiki/Pope_Nicholas_IV
190,Honorius,Honorius IV,Giacomo Savelli,4,Quartus,HONORIVS,NA,1210-06-30T00:00:00Z,30/06/1210,"Rome, Papal States",1285-04-02T00:00:00Z,02/04/1285,1287-04-03T00:00:00Z,03/04/1287,74,76,2.0027322404371600,Subject and later the sovereign of the Papal States.,https://en.wikipedia.org/wiki/Pope_Celestine_V
191,Nicholas,Nicholas IV,"Girolamo Masci, O.F.M.",4,Quartus,NICOLAVS,NA,1227-09-30T00:00:00Z,30/09/1227,"mber 1227 Lisciano, Papal States",1288-02-22T00:00:00Z,22/02/1288,1292-04-04T00:00:00Z,04/04/1292,60,64,4.114754098360660,Subject and later the sovereign of the Papal States. Member of the Franciscan Order.,https://en.wikipedia.org/wiki/Pope_Boniface_VIII
192,Celestine,Celestine V,"Pietro Angelerio, O.S.B.",5,Quintus,COELESTINVS,Saint,NA,NA,"Sant'Angelo Limosano, Kingdom of Sicily",1294-07-05T00:00:00Z,05/07/1294,1294-12-13T00:00:00Z,13/12/1294,NA,NA,0.4410958904109590,Born as a subject of the Kingdom of Sicily. One of the few popes who abdicated voluntarily. Member of the Order of Saint Benedict. Founded the Celestines. Resigned from office and rumoured to have been murdered in prison by Boniface VIII.,https://en.wikipedia.org/wiki/Pope_Benedict_XI
193,Boniface,Boniface VIII,Benedetto Caetani,8,Octavus,BONIFATIVS,NA,1230-06-30T00:00:00Z,30/06/1230,"Anagni, Papal States",1294-12-24T00:00:00Z,24/12/1294,1303-10-11T00:00:00Z,11/10/1303,64,73,8.797260273972600,Subject and later the sovereign of the Papal States. Formalized the Jubilee in 1300. Issued Unam Sanctam (1302) which proclaimed papal supremacy and pushed it to its historical extreme.,https://en.wikipedia.org/wiki/Pope_Clement_V
